budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,stop,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
2.0,add_cx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
3.0,add_rx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
4.0,add_ry,0.0699871100313214,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
5.0,add_rz,0.8684525127287878,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
6.0,delete,0.2677858814627575,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
7.0,stop,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
8.0,add_cx,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
9.0,add_rx,0.873597849947558,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
10.0,add_ry,0.1227788321681612,2.0,2.0,0.873597849947558,4.0,0.0,1.0,0.0,1.0
11.0,add_rz,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
12.0,delete,0.3040764312848323,2.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
13.0,stop,0.873597849947558,3.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
14.0,add_cx,0.873597849947558,3.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
15.0,add_rx,0.873597849947558,3.0,2.0,0.873597849947558,4.0,2.0,0.0,0.0,0.0
16.0,add_ry,0.07919033650118834,3.0,2.0,0.873597849947558,4.0,1.0,1.0,0.0,0.0
17.0,add_rz,0.8684525127287892,3.0,2.0,0.873597849947558,4.0,1.0,0.0,1.0,0.0
18.0,delete,0.30407643128483275,3.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
18.0,stop,0.873597849947558,4.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,0.0
19.0,stop,0.8684525127287878,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,0.0
20.0,add_cx,0.8684525127287878,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,1.0,1.0
21.0,add_rx,0.8684525127287911,5.0,2.0,0.8684525127287878,4.0,1.0,0.0,1.0,0.0
22.0,add_ry,0.6098557656950574,5.0,2.0,0.8684525127287878,4.0,0.0,1.0,1.0,0.0
23.0,add_rz,0.8645604557060148,5.0,2.0,0.8684525127287878,4.0,0.0,0.0,2.0,0.0
