budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,0.873597849947558,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
1.0,add_cx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,0.0,0.0,0.0,1.0
2.0,add_rx,0.873597849947558,1.0,1.0,0.873597849947558,4.0,1.0,0.0,0.0,0.0
3.0,add_ry,0.7334112416983132,1.0,1.0,0.873597849947558,4.0,0.0,1.0,0.0,0.0
4.0,add_rz,0.8684525127287878,1.0,1.0,0.873597849947558,4.0,0.0,0.0,1.0,0.0
5.0,delete,0.3040764312848323,1.0,1.0,0.873597849947558,3.0,0.0,0.0,0.0,0.0
6.0,swap,0.30407643128483264,1.0,1.0,0.873597849947558,3.0,1.0,0.0,0.0,0.0
7.0,add_cx,0.873597849947558,2.0,2.0,0.873597849947558,4.0,0.0,0.0,0.0,2.0
8.0,add_rx,0.873597849947558,2.0,2.0,0.873597849947558,4.0,1.0,0.0,0.0,1.0
9.0,add_ry,0.7139105133862217,2.0,2.0,0.873597849947558,4.0,0.0,1.0,0.0,1.0
10.0,add_rz,0.8684525127287878,2.0,2.0,0.873597849947558,4.0,0.0,0.0,1.0,1.0
11.0,delete,0.3040764312848323,2.0,2.0,0.873597849947558,3.0,0.0,0.0,0.0,1.0
12.0,swap,0.025852550221391653,2.0,2.0,0.873597849947558,3.0,1.0,0.0,0.0,1.0
13.0,swap,0.3040764312848323,3.0,2.0,0.30407643128483264,3.0,1.0,0.0,0.0,0.0
14.0,add_cx,0.30407643128483264,3.0,2.0,0.30407643128483264,3.0,1.0,0.0,0.0,1.0
15.0,add_rx,0.30407643128483264,3.0,2.0,0.30407643128483264,3.0,2.0,0.0,0.0,0.0
16.0,add_ry,0.29979683230713017,3.0,2.0,0.30407643128483264,3.0,1.0,1.0,0.0,0.0
17.0,add_rz,0.30407643128483275,3.0,2.0,0.30407643128483264,3.0,1.0,0.0,1.0,0.0
